lon,lat
-77.09,-12.04
-77.05,-12.11
-77.04,-12.11
-77.03,-12.11
-77.02,-12.11
-77.01,-12.11
-77.04,-12.12
-77.03,-12.12
-77.02,-12.12
-77.01,-12.12
-77.03,-12.13
-77.02,-12.13
-77.01,-12.13
-77.02,-12.16
-77.01,-12.16
-77,-12.16
-76.99,-12.16
-76.98,-12.16
-77.03,-12.17
-77.02,-12.17
-77.01,-12.17
-77,-12.17
-76.99,-12.17
-76.98,-12.17
-77.03,-12.18
-77.02,-12.18
-77.01,-12.18
-77,-12.18
-76.99,-12.18
-76.98,-12.18
-77.03,-12.19
-77.02,-12.19
-77.01,-12.19
-77,-12.19
-76.99,-12.19
-76.98,-12.19
-77.03,-12.2
-77.02,-12.2
-77.01,-12.2
-77,-12.2
-76.99,-12.2
-76.98,-12.2
-77.02,-12.21
-77.01,-12.21
-77,-12.21
-76.99,-12.21
-76.98,-12.21
-77,-12.22
-76.99,-12.22
-76.98,-12.22
-76.99,-11.99
-76.98,-11.99
-76.97,-11.99
-76.96,-11.99
-76.95,-11.99
-76.94,-11.99
-76.93,-11.99
-76.92,-11.99
-76.91,-11.99
-76.9,-11.99
-76.89,-11.99
-76.88,-11.99
-76.87,-11.99
-76.86,-11.99
-76.85,-11.99
-76.84,-11.99
-76.83,-11.99
-76.82,-11.99
-76.81,-11.99
-76.8,-11.99
-76.79,-11.99
-76.99,-12
-76.98,-12
-76.97,-12
-76.96,-12
-76.95,-12
-76.94,-12
-76.93,-12
-76.92,-12
-76.91,-12
-76.9,-12
-76.89,-12
-76.88,-12
-76.87,-12
-76.86,-12
-76.85,-12
-76.84,-12
-76.83,-12
-76.82,-12
-76.81,-12
-76.8,-12
-76.79,-12
-76.99,-12.01
-76.98,-12.01
-76.97,-12.01
-76.96,-12.01
-76.95,-12.01
-76.94,-12.01
-76.93,-12.01
-76.92,-12.01
-76.91,-12.01
-76.9,-12.01
-76.89,-12.01
-76.88,-12.01
-76.87,-12.01
-76.86,-12.01
-76.85,-12.01
-76.84,-12.01
-76.83,-12.01
-76.82,-12.01
-76.81,-12.01
-76.8,-12.01
-76.79,-12.01
-76.99,-12.02
-76.98,-12.02
-76.97,-12.02
-76.96,-12.02
-76.95,-12.02
-76.94,-12.02
-76.93,-12.02
-76.92,-12.02
-76.91,-12.02
-76.9,-12.02
-76.89,-12.02
-76.88,-12.02
-76.87,-12.02
-76.86,-12.02
-76.85,-12.02
-76.84,-12.02
-76.83,-12.02
-76.82,-12.02
-76.81,-12.02
-76.8,-12.02
-76.79,-12.02
-76.99,-12.03
-76.98,-12.03
-76.97,-12.03
-76.96,-12.03
-76.95,-12.03
-76.94,-12.03
-76.93,-12.03
-76.92,-12.03
-76.91,-12.03
-76.9,-12.03
-76.89,-12.03
-76.88,-12.03
-76.87,-12.03
-76.86,-12.03
-76.85,-12.03
-76.84,-12.03
-76.83,-12.03
-76.82,-12.03
-76.81,-12.03
-76.8,-12.03
-76.79,-12.03
-76.99,-12.04
-76.98,-12.04
-76.97,-12.04
-76.96,-12.04
-76.95,-12.04
-76.94,-12.04
-76.93,-12.04
-76.92,-12.04
-76.91,-12.04
-76.9,-12.04
-76.89,-12.04
-76.88,-12.04
-76.87,-12.04
-76.86,-12.04
-76.85,-12.04
-76.84,-12.04
-76.83,-12.04
-76.82,-12.04
-76.81,-12.04
-76.8,-12.04
-76.79,-12.04
-76.99,-12.05
-76.98,-12.05
-76.97,-12.05
-76.96,-12.05
-76.95,-12.05
-76.94,-12.05
-76.93,-12.05
-76.92,-12.05
-76.91,-12.05
-76.9,-12.05
-76.89,-12.05
-76.88,-12.05
-76.87,-12.05
-76.86,-12.05
-76.85,-12.05
-76.84,-12.05
-76.83,-12.05
-76.82,-12.05
