lon,lat,vs30,z1pt0,z2pt5,vs30measured
-77.09,-12.04,331.07135,373.2845393,0.5145,0
-77.05,-12.11,468.94981,233.2993725,0.5145,0
-77.04,-12.11,563.87621,128.4300809,0.5145,0
-77.03,-12.11,338.99557,361.5532181,0.5145,0
-77.02,-12.11,352.61886,342.8243706,0.5145,0
-77.01,-12.11,354.59072,340.2532005,0.5145,0
-77.04,-12.12,500.99895,218.1228284,0.5145,0
-77.03,-12.12,330.10003,374.7681296,0.5145,0
-77.02,-12.12,350.13382,346.1132127,0.5145,0
-77.01,-12.12,344.6119,353.6212032,0.5145,0
-77.03,-12.13,548.6795,145.1516997,0.5145,0
-77.02,-12.13,346.61537,350.8646459,0.5145,0
-77.01,-12.13,334.09173,368.735909,0.5145,0
-77.02,-12.16,363.45405,329.0995741,0.5145,0
-77.01,-12.16,305.42654,416.2076129,0.5145,0
-77,-12.16,317.46909,395.0364854,0.5145,0
-76.99,-12.16,339.54335,360.7660015,0.5145,0
-76.98,-12.16,388.27349,301.0219842,0.5145,0
-77.03,-12.17,497.66215,215.3140831,0.5145,0
-77.02,-12.17,322.96946,385.9812381,0.5145,0
-77.01,-12.17,285.63549,455.6042185,0.5145,0
-77,-12.17,305.08491,416.8369222,0.5145,0
-76.99,-12.17,344.62132,353.6081541,0.5145,0
-76.98,-12.17,372.52677,318.3255917,0.5145,0
-77.03,-12.18,542.46914,152.746015,0.5145,0
-77.02,-12.18,262.16669,511.5104641,0.5145,0
-77.01,-12.18,270.84221,489.5162253,0.5145,0
-77,-12.18,335.40298,366.7911298,0.5145,0
-76.99,-12.18,444.4767,250.8060525,0.5145,0
-76.98,-12.18,339.62778,360.6449322,0.5145,0
-77.03,-12.19,289.22258,447.992453,0.5145,0
-77.02,-12.19,719.10041,43.2068825,0.5145,0
-77.01,-12.19,346.87689,350.5075823,0.5145,0
-77,-12.19,469.89036,232.6691695,0.5145,0
-76.99,-12.19,491.69282,218.8504493,0.5145,0
-76.98,-12.19,362.84318,329.847776,0.5145,0
-77.03,-12.2,428.73244,263.3192417,0.5145,0
-77.02,-12.2,232.27276,602.3327589,0.5145,0
-77.01,-12.2,217.13317,659.7111572,0.5145,0
-77,-12.2,349.41524,347.074474,0.5145,0
-76.99,-12.2,405.51513,283.8733532,0.5145,0
-76.98,-12.2,414.23914,275.832309,0.5145,0
-77.02,-12.21,256.3522,527.2348951,0.5145,0
-77.01,-12.21,230.07145,610.1259226,0.5145,0
-77,-12.21,232.27346,602.3303083,0.5145,0
-76.99,-12.21,345.74687,352.0549987,0.5145,0
-76.98,-12.21,431.93322,260.6884219,0.5145,0
-77,-12.22,252.45095,538.263833,0.5145,0
-76.99,-12.22,230.07161,610.1253498,0.5145,0
-76.98,-12.22,269.52593,492.7463494,0.5145,0
-76.99,-11.99,760,33.72291916,0.5145,0
-76.98,-11.99,760,33.72291916,0.5145,0
-76.97,-11.99,760,33.72291916,0.5145,0
-76.96,-11.99,760,33.72291916,0.5145,0
-76.95,-11.99,760,33.72291916,0.5145,0
-76.94,-11.99,252.44292,538.2869475,0.5145,0
-76.93,-11.99,367.05882,324.7439103,0.5145,0
-76.92,-11.99,360.49778,332.7481577,0.5145,0
-76.91,-11.99,380.18256,309.7024955,0.5145,0
-76.9,-11.99,368.39221,323.1581185,0.5145,0
-76.89,-11.99,760,33.72291916,0.5145,0
-76.88,-11.99,760,33.72291916,0.5145,0
-76.87,-11.99,760,33.72291916,0.5145,0
-76.86,-11.99,760,33.72291916,0.5145,0
-76.85,-11.99,760,33.72291916,0.5145,0
-76.84,-11.99,367.48546,324.235039,0.5145,0
-76.83,-11.99,472.26013,231.0944051,0.5145,0
-76.82,-11.99,604.31345,94.17055472,0.5145,0
-76.81,-11.99,760,33.72291916,0.5145,0
-76.8,-11.99,760,33.72291916,0.5145,0
-76.79,-11.99,760,33.72291916,0.5145,0
-76.99,-12,760,33.72291916,0.5145,0
-76.98,-12,760,33.72291916,0.5145,0
-76.97,-12,392.39561,296.7608275,0.5145,0
-76.96,-12,760,33.72291916,0.5145,0
-76.95,-12,599.46568,97.63058277,0.5145,0
-76.94,-12,490.5826,219.519332,0.5145,0
